userName,score,at,content
ayu mardiana,5,2023-01-30 08:52:37,"Akhirnya nemuin aplikasi invest yang bener bener cocok di aku , apalagi aku masih pemula belum terlalu ngerti dunia invest tuh kaya gimana . Ini bener bener bagus banget mudah di mengerti , tampilan aplikasinya mudah dipahami cocok banget Recommend yang mau invest untuk pemula , top pokonya makasih ajaib ."
Sri Cahyani,5,2023-01-28 11:42:26,"apk nya sangat membantu untuk yang mau belajar nabung melalui investasi, bener-bener cocok untuk para pemula karna pengunaan dan cara-cara nya pun mudah dipahami, dan pastinya aman banget invest di ajaib!"
Lolasada,5,2023-01-28 11:18:33,"Apk mantap! Buat pemula gausah takut pakai ajaib. soalnya proses daftar cepat, minimal deposit cuman 100k, aman udah OJK, user friendly juga, ada layanan CSnya juga. Saran aja, tampilan dark mode nya balikin lagi dong haha. Overall, oke banget buat invest."
jeon velvet,5,2023-01-28 11:09:12,"Aplikasi yang sangat bagus untuk pemula yang ingin investasi. Fiturnya banyak dan yang paling penting tampilannya mudah di mengerti apalagi buat aku yang masih awam. Recommended banget, top ajaib."
Suhesti Alfiani,5,2023-01-28 11:04:51,"Aplikasunya bagus. Tampilannya mudah dipahami, jadi gampang buat yang baru belajar. Fiturnya juga lumayan lengkap. Tarik dana nya juga gampang."
Dewi Ratnawati,5,2023-01-28 10:46:23,Aplikasi ini bagus banget buat berinvestasi. Buat kalangan muda bisa ni mulai belajar berinvestasi di aplikasi inu. Aplikasi simple dan mudah digunakan jadi cocok buat pemula dan yang masih awam
Ania Meita Puspita,5,2023-01-28 10:45:20,Aplikasi ajaib cocok bgt untuk pemula belajar seputar investasi. Tampilan data transaksinya mudah dimengerti dan fiturnya banyak dan tampilan juga mantap banget.
chlseaputrii,5,2023-01-28 09:05:10,"Aplikasi ajaib cocok banget dipakai buat pemula yang pengen berinvestasi. selain terpercaya, fitur fitur aplikasinya juga mudah dipahami. Terimakasih ajaib"
sayyidatina rahmah,5,2023-01-28 01:59:01,"Aplikasi yang ga bikin kita takut untuk investasi. Terutama untuk pemula yang baru belajar investasi, aplikasi ini mempunyai fitur yang lengkap, mudah di pahami, ga ribet. Pas deh pokonya."
Muhammad Istajib,5,2023-01-27 11:02:05,"aplikasi ini cocok untuk pemula yg baru mengenal dunia investasi, tampilan user interfacenya mudah dimengerti, banyak fitur² yang mendukung seperti, selain itu dijamin aman karena diawasi oleh otoritas jasa keuangan. sesuai namanya ajaib✨, pertahankan kualitas app nya"
D D,5,2023-01-27 10:47:36,"Dari sekian banyak aplikasi investasi, cuma aplikasi ajaib yang bagus untuk di instal karena aplikasi ini bagus banget untuk pemula yang baru belajar berinvestasi, banyak fitur fitur yang mudah sehingga gampang di gunakan, selain itu juga transaksi2 yang ada di aplikasi ini sangat lengkap. Untuk pemula yang ingin belajar berinvestasi aku saranin download aplikasi ini karena dapat mempermudah kita."
Malda Mega,5,2023-01-27 09:02:29,Seneng banget akhirnya nemuin aplikasi yang cocok dipakai oleh pemula untuk investasi. Cara daftarnya sangat gampang sekali. Dengan tampilan yang sederhana tapi fitur fiturnya sangat mudah buat dipahami. Suka banget deh pokoknya sama aplikasi ajaib❤️
Hwang Unch,5,2023-01-27 08:57:56,Aplikasi yang satu ini benar-benar ajaib! Dari daftar akun hingga fitur-fitur yang ada didalamnya mudah dipahami dan sangat bermanfaat untuk aku yang pemula. Thanks Ajaib!
sikuju datok,5,2023-01-27 08:47:07,"aplikasi ini beneran bagus. cocok di pake buat investasi apalagi bagi pemula, karena nggak ribet makenya, apa lagi fitur - fiturnya banyak dan mudah di gunakan. jadi kalau mau invest, pake ajaib aja."
annisya aryiani,5,2023-01-27 07:32:02,"keren banget nih aplikasinya buat pemula pemula yang mau investasi, fiturnya bagus terus mudah dipahami, tampilannya juga keren!"
Dinda Istiqomah,5,2023-01-27 05:40:14,"Aku mau bilang kalo aplikasi ini cocok banget buat berinvestasi apalagi pemula kayak aku ini hehe. Fitur yang ada mudah dipahami dan tampilannya juga cakep, rekomendasi buat semuanya deh ni aplikasi. Ajaib emang ajaib deh"
Putri Nugrahita,5,2023-01-26 13:49:48,"Aplikasi ajaib ini sangat membantu sekali buat pemula yang mau nyoba investasi, buat daftarnya juga ngga ribet dan tampilan appsnya jg oke jd ngga bingung pas mau makenya, diaplikasi ini juga ada promo yang menarik untuk pengguna baru jd makin sukak sama ini aplikasi"
Khotimah Khotimah,5,2023-01-26 13:34:30,"Setelah aku ketemu aplikasi ajaib, akhirnya aku ngerti juga gimana cara nya investasi.aplikasinya mudah di pelajari untuk pemula dan bener bener rekomendasikan untuk kita yg masih belajar, semuanya juga di mudahkan,dan juga di jelaskan detailnya juga, Topp banget untuk kalian yg mau investasi bagi pemula cocok buat kalian untuk investasi"
Aisha Ilham Fatihah,5,2023-01-26 11:08:36,"Aplikasinya membantu banget buat yang masih pemula kek aku untuk investasi. Fitur-fitur di dalamnya juga mudah bgt diaksesnya, gak ribet dan recommended buat pemula gaes👍"
Annisa Azzahra,5,2023-01-26 10:10:04,"Aplikasi yang sangat cocok untuk millenial, karena bisa memulai investasi sangat mudah hanya dengan menggunakan satu aplikqsi. The best buat orang uang pengin belajar saham dan mengelola uang dengan baik."
cutie bear,5,2023-01-26 10:08:43,"aplikasinya bagus bangett. mudah dimengerti dan cocok buat pemula kaya aku. tampilannya juga enak dan fitur2nya juga memudahkan. kemarin sempat kesusahan untuk login dan menghubungi csnya di sosmed, ternyata dibalas dengan ramah dan dituntun sampai bisa login lagi. makasih ajaib emang ajib!"
Rahnia Putri,5,2023-01-26 09:46:59,"Dapet rekomendasi aplikasi ini dari temen katanya cocok buat pemula, dan bener banget ternyata ini aplikasi mudah banget digunakan, terkhusus untuk aku yang masih pemula dalam berinvestasi"
Raudotul Jannah,5,2023-01-25 11:18:59,"Aplikasinya sangat membantu, trus mudah memahaminya karena gak ribet, kalau pemula pasti bisa sih pakai apk ini, pokoknya rekomen banget terutama bagi yg mau mulai investasi"
kirana dwi,5,2023-01-24 11:27:27,"Aplikasi berjalan sangat lancar, sesuai ekspektasi enak banget cuman sebentar untung cuannya cepet, persennya juga gede. Lengkap semua toolsnya enak buat pengguna baru, lancar & recommended deh"
Tris Irianto,5,2023-01-24 10:50:46,"Aplikasi yang bagus, tidak susah untuk mendaftar. Dan bagus sekali untuk para anak muda yang mau memulai investasi👍 Tampilan data transaksi nya juga mudah d mengerti."
Suyanti Vivo,5,2023-01-24 10:24:30,"Aplikasi yg cocok untuk belajar investasi, baik dr pemula hingga investor yg memang udh sering invest. Tools/menu yg ada juga bervariatif dan mudah untuk dipahami. Sesuai bgt sm namanya, aplikasi Ajaib. Semoga ke depannya lebih baik lagi 👌🏻"
Okti Khoeru nisa,5,2023-01-24 10:16:46,"aplikasi ajaib ini bagus bangett🤩🤩 fitur fiturnya juga sangat mudah digunakan bagi pemula seperti saya, daftarnya juga ngga ribett✨ sangat bermanfaat🫶🥳"
Chanie Tan,5,2023-01-24 08:57:43,"Aplikasi yang bagus, fitur banyak dan lengkap, tampilannya oke, dan yang terpenting nggak ribet digunakan, sangat membantu untuk pemula yang baru belajar berinvestasi, semoga aplikasinya bisa lebih baik lagi kedepannya ya"
Jauzaa Case,5,2023-01-24 08:49:18,"Aplikasi baguss poll sii, cocok buat yg pgn investasi tapi bingung mulainya gimana. Cara daftar gak ribet, aku gampang, dan ada penjelasannya juga. Rekomen bgttt lah pokoknya, aku thx ajaib"
Aziza Masli,5,2023-01-24 08:15:06,"buat aku yang baru pertama kali belajar investasi, aplikasi ajaib ini membantu banget. simple dan mudah digunakan, set sat set juga. bisa langsung dipelajarin karena tampilannya juga oke banget."
Yaya,5,2023-01-24 07:33:47,"Overall, Ajaib ini aplikasinya mudah dipakai, karena fiturnya gampang banget dimengerti buat pemula yang lagi pengen belajar tentang investasi. Aplikasi ini juga ga makan banyak memori. Gausah khawatir tenang aja data aman di Ajaib. Dengan pake aplikasi ini jadi lebih gampang ngatur keuangan"
Dyah Ayu,5,2023-01-24 06:58:07,"Rekomended sekali, bagus untuk pemula yang ingin belajar investasi. Tampilan aplikasinya juga enak dilihat. Fitur-fiturnya juga banyak dan mudah digunakan"
Monica Dyah P.,5,2023-01-23 11:07:45,"Pertama kali cari aplikasi untuk belajar investasi ternyata nemu aplikasi ini dan sangat dapat membantu bagi para pemula, tampilannya tiap menu di aplikasi mudah untuk dipahami, kerenn!!"
Safira Azahra,5,2023-01-23 10:34:32,"aplikasi ajaib ini benar"" sangat membantu dan sangat merekomendasikan saya, cocok sekali untuk pemula yang ingin belajar investasi, fitur yang di gunakan pun mudah di pahami dan nyaman, recommended banget untuk saya yang ingin belajar investasi apalagi pemula."
Ade Kurniati,5,2023-01-23 08:26:02,"App nya bagus untuk pemula, jadi ngerti caranya investasi, tampilannya juga mudah dimengerti ngga ribet sama sekali, yang terpenting adalah apk nya bekerja dengan baik."
srilestari Abid,5,2023-01-23 08:01:01,"Suka dengan aplikasi ini. Cocok untuk para kawula muda yang sedang belajar berinvestasi , karena mudah digunakan dan miliki fitur-fitur yang mudah dipahami. Recommended."
Annisa fithri,5,2023-01-23 07:56:31,Aplikasi ajaib ini bener bener ngebantu pemula kayak aku untuk mulai investasi. Fitur nya juga gak ribet mudah dipahami. Thankyou min pertahanin terus ya
Rendi Bagas putra,5,2023-01-23 07:38:30,"Aplikasinya bagus banget, top pokoknya. Cara membuat akunnya juga mudah, jadi buat pemula seperti saya nggak merasa kesulitan sekali. Fitur-fitur di dalamnya pun mudah dipahami. Bintang lima untuk ajaib pokoknya"
Rada Ayu,5,2023-01-23 06:37:48,"Aplikasinya bagus banget nih buat pemula yang mau belajar investasi cara pakenya juga simpel banget gak repot repot soalnya semua fitur yang di sediain juga lengkap banget, membantu banget sih buat investasi jangka panjang"
Suhadi,5,2023-01-22 02:33:33,Aplikasi ini sangat membantu saya banget dan cara kegunaan nya juga mudah banget dan fitur di dalam apknya juga lengkap banget dan menu investasi juga mudah di mainkan juga dan mudah paham dan apknya terjamin aman loh
Susan Hidayani,5,2023-01-21 13:52:59,"Secara keseluruhan, saya suka dengan desain antarmuka aplikasi Ajaib karena memiliki tampilan yang bersih, konsisten, serta didominasi dengan banyak space putih. Hanya saja, dari segi user experience, saya rasa tim Ajaib perlu melakukan beberapa perubahan."
Tisa Elsa,5,2023-01-21 13:23:20,"Aplikasinya bagus banget, top pokoknya. Cara daftar juga enggak ribet alias gampang dan mudah sekali. Fitur-fitur didalamnya juga mudah dan ga bikin bingung. Membantu banget buat pemula buat investasi. Bagus banget, bintang lima deh buat aplikasi ini✨✨✨✨✨"
Silvia Vivi Devi Anti,5,2023-01-21 13:09:34,"Aplikasi ajaib, salah satu aplikasi yang mudah buat para pemula untuk investasi. Tampilan yang sangat menarik dan enak dilihat memudahkan pemula untuk mendaftar investasi diakun ajaib. Selain itu fitur didalamnya mudah dipahami."
Yltkaa Antik,5,2023-01-21 11:31:22,Aplikasi ini sangat bagus dan cocok untuk pemula yang ingin memulai investasi.. fitur di aplikasinya sangat mudah dipahami dan ga ribet sama sekali.. Rekomended deh pokonya buat pemula yg mau belajar investasi! good!!:)
Nelsaa,5,2023-01-21 10:30:48,"Aplikasi Ajaib cocok untuk yang baru mulai coba investasi, fitur yang disediakan mudah untuk digunakan ngga bikin bingung, dan yang pasti bisa nambah cuan hanya dengan rebahan"
Novii Uss,5,2023-01-21 09:45:29,"aplikasinya baguss, tampilannya sederhana mudah dipahamii, sangat membantu untuk pemula dan jadi lebih paham. recomend yg mau belajar investasi"
Rahmaa,5,2023-01-21 06:33:13,"Gak nyesel downloadnya, karena apk ajaib fitur fiturnya mudah dipahami bagi pemula dan membantu banget buat pemula yang mau investasi. Makasi ajaib!"
Tiara oktapiani,5,2023-01-21 06:20:29,"aplikasi ajaib aplikasi yang bagus banget apalagi untuk pemula yang ingin investasi, ga ribet daftar akunnya dan mudah digunakan. tampilan dan fiturnya bagus, menarik dan simple ga bikin pusing. recommended banget deh aplikasi ajaib buat yang mau investasi."
Laras Setiyani,5,2023-01-20 13:53:21,"Aplikasi Ajaib aplikasi yang cocok untuk pemula buat belajar investasi, cara daftar yang mudah gak ribet sama sekali, fitur-fitur nya simple sangat mudah di pahami."
Hasna Rosyifah,5,2023-01-20 13:30:36,"Aplikasi ini sangat cocok untuk pemula yang berinvestasi. Tampilan UI/UX di aplikasi sudah bagus, mungkin bug perlu diperbaiki lagi, semua fitur sudah sangat bagus👍👍"
Adelia S,5,2023-01-20 13:09:28,"Aplikasi ajaib cocok banget nih buat para pemula seperti aku ini untuk investasi,cara daftarin juga sat set ngga ribet,fitur-fiturnya juga mudah banget di pahami,bintang 5 deh pokoknya"
Natasya Yoongi,5,2023-01-20 11:36:50,"aplikasinya keren banget deh, fitur fitur yang tersedia juga lengkap dan gampang banget diakses apalagi buat orang yang gampang bingung kya aku. sukses terus pokoknya buat ajaib semoga fiturnya makin canggih lagi kedepannya"
Revania Azzahra,5,2023-01-20 10:54:54,"aplikasi nya keren banget, top markotop! dengan instal aplikasi ini saya jadi paham caranya berinvestasi, fitur fitur yang ada juga sangat mudah di pahami, ga ribet sama sekali! bintang 5 deh pokoknya 👍🏻👍🏻👍🏻"
Laila Puteri Aryanto,5,2023-01-20 10:35:18,"aplikasi ajaib cocok dipakai oleh pemula untuk belajar seputar investasi, cara membuat akun nya juga mudah, fitur fiturnya sangat mudah digunakan, dan dimengerti, sangat bermanfaat pokoknya suka banget pake ajaib👍"
Mahika ra,5,2023-01-20 10:17:32,"Buat akunnya mudah gak ribet, cocok buat pemula yg baru belajar cara investasi kayak aku. Tampilannya oke n gak bakal bingung sama fitur2 di apk nya"
Nurul W. Ramadhani,5,2023-01-20 07:55:34,"Aplikasi nya bagus banget, mudah dimengerti gak bikin bingung dengan tampilannya. Fitur nya juga menarik, cocok buat pemula untuk belajar invest."
alif suwatni,5,2023-01-20 07:45:40,Aplikasinya sangat membantu sekali. Mudah dipahami dan tidak menyulitkan untuk pemula. Semoga bisa terus update ya fitur-fiturnya
Siti Hasanah,5,2023-01-20 06:40:46,Aplikasinya sangat bagus👍 mudah dipahami dan mudah digunakan. Fiturnya lengkap sangat mudah digunakan untuk pemula yang ingin belajar investasi
Indiraa,5,2023-01-20 06:39:00,"bagus banget aplikasi nyaa, buat pemula cocok soalnya fitur fitur nya banyak dan sangat mudah di pahami jadi ga perlu bingung"
Julia Yasmin,5,2023-01-20 06:32:40,"Akhirnya nemuin aplikasi invest yang bener bener cocok di aku, apalagi aku masih pemula belum terlalu ngerti dunia invest tuh kaya gimana. Ini bener bener bagus banget mudah di mengerti, tampilan aplikasinya mudah dipahami cocok banget. Recommend yang mau invest untuk pemula, top pokonya makasih ajaib."
"Rhilo Ahadi Rahman, SE., MM",1,2023-01-19 15:15:09,"Kenapa gabisa pesen saham e ipo ya? Pilihan pesannya gak ada, peve kmaren ofering malah tombol pesannya ilang, yg book building pn ada yg tombol pesan ny ilang ad yg ada. Padahal kmaren"" Normal dan bagus. Nah sementara kalau pesen e ipo melalui web e ipo kalau broker kita ajaib pasti d riject ntah knapa, heran juga."
Novi Estika,5,2023-01-19 13:27:54,"Aplikasi ajaib ini cocok banget sih buat pemula. Dari segi tampilannya juga udah bagus dan ga bikin ribet, ya mudah dipahami juga sih ini langkah-langkahnya."
Nurul Ayuning Septyan,5,2023-01-19 13:06:53,"Aplikasi ajaib ini bagus banget sii, sangat recomended untuk pemula yang mau belajar seputar investasi, apalagi cara daftarnya mudah dan ga ribet, juga fitur tampilan nya yang menarik dan oke banget"
Nova stela Cendana,5,2023-01-19 12:44:35,"Aplikasinya bagus bngttt!! Sangat membantu, apalagi buat para pemula yg baru mau mulai investasi. Semua filturnya mudah d gunakan, recommend bngtt nihh!!"
Rani Ranii,5,2023-01-19 12:25:33,"Sangat bagus, mudah digunakan fitur chatting nya lengkap dan fee jual belinya relatif lebih murah dibanding sekuritas lain, kerenn!!!! Tampilan sangat sederhana tapi cukup lengkap dari segi fitur... Jika ada yang kurang mohon diperlengkap lagi."
zaenal arifin,5,2023-01-19 11:59:11,"Aplikasi ajaib sudah memberikan yang terbaik untuk pemula dalam dunia iventasi, tampilan yang bagus, fitur yang banyak, daftarnya juga sangat mudah. Smoga ajaib selalu bisa memberikan yang terbaik bagi usernya dan para investornya."
Nabilah Diyanah,5,2023-01-19 04:38:38,"Aplikasinya bagus bgt, buat akun nya juga mudah bgt, cocok buat pemula yg mau investasi, lancar banget tnpa gangguan. Mantapp."
Sar Pemi,5,2023-01-18 12:58:32,Ajaib si sesuai nama aplikasinya. Sangat recommended buat pemula karena aplikasinya mudah dimengerti. Loading ya cepat. Mau investasi swing trading atau lainya bisa banget.
si Putri,5,2023-01-18 12:44:20,"dari sekian banyak apk investasi, apk ini yang mudah dipahami sih buat pemula, tampilannya ok ga bikin pusing, untuk anak muda yg mau mulai berinvestasi, aplikasi ajaib super invest rekomended 👍"
Azdiana Fitri,5,2023-01-18 11:56:05,"Tampilan aplikasi ajaib sangat mudah dimengerti buat pemula, pendaftarannya tidak ribet, rekomen buat yang pemula yang mau investasi"
Raratyas,5,2023-01-18 11:09:26,Aplikasi ini sangat cocok untuk para pemula yang ingin berinvestasi dengan mudah dan aman tentunya. Semua fitur-fiturnya mudah dipahami oleh pemula sepertiku. Kalau kalian penasaran coba saja langsung.
siti nur fatimah,5,2023-01-18 10:58:12,"Aplikasinya bagus dan menu pada aplikasi mudah dipahami untuk pemula yg mulai mencoba investasi, selain saham ads reksadana jg. Untuk harga saham di plikasi juga real time, good"
Saila 123,5,2023-01-18 10:47:25,"Aplikasinya bagus banget, cocok bgt buat pemula untuk belajar investasi dan tampilan transaksinya jyga mudah dimengerti. Pokoknya aplikasi ini rekomended bgt deh."
frizky p,5,2023-01-18 09:43:25,"setelah aku ketemu apps ajaib, akhirnya aku ngerti juga gimana caranya investasi. aplikasinya mudah di pelajari untuk pemula, bener-bener rekomendes untuk kita yang masih belajar. semuanya di mudahkan, dan juga di jelaskan detailnya juga. toppp bangett pokoknyaaaaaa"
Kevin zikri,5,2023-01-18 07:47:46,"Tampilan data nya mudah dimengerti, aplikasi nya juga cocok dipakai untuk pemula yang belajar investasi. Good lhh"
Sri Indriyani,5,2023-01-18 07:46:45,"Aplikasi ajaib bagus banget. Proses pembuatan akunnya anti ribet. Jadi, buat pemula tidak perlu khawatir akan mengalami kesulitan. Karena fitur yang disediakan pun sangat mudah untuk dipahami. Terima kasih ajaib sukses terus"
Mas Fandi,4,2023-01-16 14:03:26,"Aplikasinya lemot. Gak bisa kirim orderan sebelum market buka. Pas market buka masih loading aja, gak bisa langsung eksekusi Ajaib cocok buat pemula, dengan metode swing trading. Kalo dibuat scalping gak cocok bgt. Antar mukanya bagus. Enak dilihat,"
Mulyanul Ilmi,5,2023-01-07 09:13:18,"Aplikasi ajaib bagus, tampilannya sederhana tapi fitur2nya lengkap, memudahkan untuk pemula yang ingin mulai investasi. Pokoknya rekomen banget👍"
Shanaya,5,2023-01-07 08:03:20,"Aplikasi yang sangat bagus bagi pemula yang ingin mulai investasi, cara daftarnya mudah, fitur fiturnya mudah dipahami, cocok bgt bagi kalian yang mau mulai berinvestasi, ajaib ini apk yang sangat rekomen untuk kalian yang mau investasi! 👍"
rahma fitri octavia,5,2023-01-07 07:55:02,"aplikasi ajaib gampang bgt cara pakainya jadi mudah pahami, cocok bgt buat pemula yg mau mulai investasi. asli no ribet ribet semua fiturnya jelas dan lengkap!"
Fani Alma,5,2023-01-07 07:29:43,"Aplikasi yg membantu banget buat anak muda yg mulai investasi. Daftarnya ga ribet, fiturnya menarik dan tampilannya simpel tapi oke bgt, jadi ga bikin bingung."
Zaki Tamim Malik,5,2023-01-07 07:29:02,"Aplikasi ajaib kereeen, cocok buat pemula yang sedang belajar investasi. Mudah untuk di gunakan, dari awal registrasi juga sudah mudah dan jaga ada kesulitan, tampilannya okee"
amelia syaharany,5,2023-01-07 07:22:11,"aku sebenernya masih awam tentang investasi, tapi semenjak kenal aplikasi ajaib jadi paham banget dunia investasi. Langsung ku kasih bintang lima karena baru kali ini nemu aplikasi investasi yg pendaftarannya cepet, ga ribet, dan enaknya lagi modal investasinya juga bisa dimulai dari 10 ribu aja. Thanks ajaib"
7C M Reza Fahlevi,5,2023-01-07 07:15:16,Aplikasi Ajaib cocok banget dipakai oleh pemula untuk belajar seputar investasi. Tampilan data transaksinya mudah dimengerti trs fiturnya banyak dan tampilannya juga oke. Memang yang paling bener buat belajar investasi paling cocok pakai apk Ajaib rekomen sih ini.
Avifah Annisa Marsya Respati,5,2023-01-07 07:10:37,"Aplikasinya cocok utk pemula yg mau mulai berinvestasi, fitur aplikasinya oke dan sangat mudah di pahami terutama ketika registrasi gak sulit sama sekali"
Dera Nantasia,5,2023-01-07 07:05:20,"Hai aku pemula, dan sangat tertarik mengenai investasi. Aplikasi ini sangat membantu aku dari cara daftarnya yang sangat simpel dan penggunaan sangat gampang banget dipelajari.."
Revi Sukandar,5,2023-01-07 07:03:04,Aplikasinya bagus untuk pemula seperti saya karena fitur2nya mudah di pahamin...terus juga disini kita bisa belajar cara investasi yg benar dari fitur chatnya.. recommend deh untuk aplikasinya 👍
Febriana Mulia Insani,5,2023-01-06 23:52:05,"aplikasi ajaib untuk pemula bagus sih ini apk nya ga ribet, cara daftarnya juga gampang banget, fiturnya enak di liat dan ga bikin bingung. Ini juga sangat membantu untuk belajar inverstasi bagi seorang pemula"
Prim Primly,5,2023-01-06 12:07:46,"Untuk yang baru pertama kali belajar investasi apk ajaib ini cocok banget sih, cara daftar nya mudah dan gak ribet , terus fitur-fiturnya juga lengkap plus mudah di pahami dan gak bikin bingung👍👍👍"
Fitri Anjani,5,2023-01-06 11:31:01,"Aplikasi nya bagus, mudah di pahami, fiturnya juga gampang di mengerti, jadi pas mau nyoba belajar investasi pun ga bingung, cocok sih buat pemula juga"
Ilham Aa,5,2023-01-06 10:48:41,"Aplikasi investasi yang bagus untuk pemula, banyak fiturnya seperti fitur chat yang memudahkan untuk berinteraksi, fee untuk jual beli nya juga termasuk kecil. Aplikasi ajaib yang bener bener ajaib deh 🫶🏽"
Renika Licyna,5,2023-01-06 10:38:24,Aplikasinya bener-bener user friendly. Tampilan UI juga cukup simpel dan oke dimata. Bahkan disini aku nemuin ada berbagai macam pelajaran terkait investasi dari pemula sampai dengan yang berpengalaman.
smilling,5,2023-01-06 10:20:57,"ini apk cakep bgt pls, cocok banget buat pemula yg pengen berinvestasi, untuk daftarnya juga gampang bgt ga ribet, tampilannya juga oke buat dipandang di mata, fiturnya juga oke, recommended bgt ni apk🫶🏻🫶🏻"
anita fatkhiana,5,2023-01-06 09:20:56,"Aplikasi yang cocok banget buat pemula, apalagi yang baru mau belajar investasi. Fiturnya mudah dipahami ngebantu banget buat aku. Good job ajaib 👍"
Regita Hutagalung,5,2023-01-06 08:34:12,"Aplikasi Ajaib mempermudah pemula yang mau belajar investasi. Tampilannya menu2nya gak ribet, simpel, dan sangat mudah dipahami. Saya jadi semangat berinvestasi pake aplikasi Ajaib🙏"
Khotiyah,5,2023-01-06 08:22:36,"Aplikasi ajaib ini dapat memudahkan para pemula buat belajar investasi, fitur yang lumayan lengkap sangat memudahkan pemula untuk menggunakannya, kemudian tampilannya juga oke banget jadi mudah digunakan deh"
anggia ai,5,2023-01-06 08:03:01,"Aplikasi nya bagus, cocok banget untuk pemula yang mau belajar investasi, tampilannya juga nyaman dilihat dan nggak ribet, fiturnya juga memudahkan kita buat memahami gimana investasi kita berjalan. Suka banget deh."
May Sarah,5,2023-01-06 07:35:16,"Aplikasinya mudah dan bagus banget, sangat cocok untuk pemula yang ingin belajar investasi. Dengan rating yg memuaskan semoga tetap selalu konsisten dan menjadi pilihan banyak orang dalam berinvestasi"
Kandita Gitri,5,2023-01-05 12:32:29,"Aplikasi ajaib mudahhh bgt digunainnya, cocok untuk pemula kaya aku pokoknya, tampilan app nya juga simpel dan gak pusingin pokoknya.. lovee bgt buat ajaib"
Fridyana Klise Hermiati,5,2023-01-05 12:15:22,"Setelah mencoba berbagai aplikasi investasi, Ajaib paling cocok buat pemula, apalagi tampilannya mudah dipahami dan yg lebih seru ada forum diskusi. Buat top-up saldo RDN, pilihannya juga lengkap, bahkan bisa pakai Dana, OVO, Gopay. Di Ajaib juga bisa ikutan IPO, pokoknya jangan ragu buat pakai Ajaib."
Indira Amri,5,2023-01-05 11:54:01,"Baru kali ini nemu aplikasi untuk pemula yg membantu bangett,mudah dipahami dan tampilannya keren cocok bgt buat anak muda yang mau belajar investasi. Dijamin ga nyesel deh pake aplikasi ini guyss"
Danang Putra ditya,5,2023-01-05 11:50:03,aplikasi yang sangat bagus untuk para pemula yang ingin belajar dan berinvestasi. pembuatan akun mudah dan tampilannya pun sangat membantu para pemula seperti saya untuk cepat berdaptasi dengan aplikasinya. ada banyak fitur pembayaran yang bisa dipakai ketika akan bertransaksi
Rizqy Abdussalam,5,2023-01-05 10:27:54,"Aplikasi yang cocok banget untuk orang-orang khususnya anak muda untuk mulai investasi. Terus gak bakal bikin bingung penggunaan baru juga karena fitur dan tampilannya oke banget. Terutama waktu registrasi sih, gak ribet dan mudah sekaliii."
Wong Lucas,5,2023-01-05 10:15:30,"Aplikasi ini sangat membantu, apalagi untuk pemula yang baru belajar investasi. Cara pendaftarannya juga ga ribet dan mudah di pahami. Bagi pemula yang mau mencoba investasi, pake ajaib aja!"
Zahra Mariam Fauziyah,5,2023-01-05 09:57:04,"Akhirnyaa nemu aplikasi yang cocok banget buat belajar investasi bagi pemula, karna tampilannya menarik dan fiturnya sangat mudah dipahami, keren banget pokonya mah"
Wasn't Cost,5,2023-01-05 09:33:37,"Aplikasinya membantu banget, tampilan mudah di pahami untuk aku yg pemula dan fitur-fiturnya juga oke banget, cara daftarnya juga mudah banget. Makasih buat yang buat aplikasi ini"
Edi Sutartono,5,2023-01-05 08:09:05,"Aplikasi AJAIB cocok bgt deh buat pemula, apps nya juga friendly dan gampang bgt pake nya. Apalagi buat kita yg baru mau mulai investasi."
Mutiara nrkh,5,2023-01-05 07:50:41,Aplikasinya sangat mudah digunakan untuk pemula yang ingin belajar investasi dan sangat membantu sekali. Tampilannya mudah dipahami dan fitur-fiturnya sangat lengkap
Zahra Fatiha,5,2023-01-05 07:48:07,"Buat pemula di dunia investasi, ajaib ini aplikasi yg cocok sih. Mau buat akun baru ga ribet. Trs aku sukanya tuh Tampilan serta fitur-fitur yg ada di aplikasinya gampang dipahami jadi pas make aplikasinya jg nyaman."
Puja Sari Asih Nasution,5,2023-01-05 07:30:53,"aplikasi ajaib sangat bagus jadi pilihan pertama investasi bagi pemula 👍🏻karna sangat mudah digunakan, daftar akunya ga ribet, fitur fiturnya sangat mudah digunakan dan sangat bermanfaat. sukaa banget sm ajaib🤩🤩"
Ahmad Rifai,5,2023-01-05 06:31:04,"Sering seliweran di iklan platfrom instagram aku, penasaran akhirnya aku lihat deh yt review nya, dan tertarik, ternyata untuk aku yang pemula, apk ini mudah sekali di pahami dan juga dari ini bisa buat aku belajar investasi"
Firda Elhikmahh,5,2023-01-05 06:30:10,"Aplikasinya simple dan mudah digunakan. Pokoknya bagus sih, mudah juga buat para pemula yang pengen belajar Investasi. Tampilannya gapusing dan gaberat juga. Pokoknya rekomen banget👍"
Melly Irawan,5,2023-01-05 06:16:57,"Aplikasinya sangat bagus, untuk ukuran pemula ini terbilang mudah digunakan. Daftarnya juga gampang, langsung satsetsatset. Tampilannya pun oke, simple, dan gak bikin bingung saat menggunakan fiturnya."
ririn stiyo,5,2023-01-05 06:14:26,aplikasi yang bagus karena fitur-fiturnya mudah dipelajari. cara daftarnya juga gampang ga ribet. Aplikasi yang cocok bagi pemula yang mau mulai berinvestasi nih.
